[268, 218]
[267, 219]
[266, 220]
[265, 221]
[264, 222]
[265, 221]
[264, 222]
[263, 223]
[262, 224]
[261, 225]
[260, 226]
[259, 227]
[258, 228]
[257, 229]
[256, 230]
[255, 231]
[254, 232]
[253, 233]
[252, 234]
[251, 235]
[250, 236]
[249, 237]
[248, 238]
[248, 237]
[247, 238]
[246, 239]
[245, 240]
[244, 241]
[243, 242]
[242, 243]
[241, 244]
[240, 245]
[239, 246]
[238, 247]
[237, 246]
[236, 247]
[237, 247]
[236, 248]
[235, 249]
[236, 248]
[235, 249]
[234, 250]
[233, 251]
[232, 252]
[233, 252]
[232, 253]
[233, 252]
[233, 251]
[232, 252]
[231, 253]
[230, 254]
[229, 255]
[228, 256]
[227, 257]
[226, 258]
[227, 258]
[226, 259]
[225, 260]
[224, 261]
[223, 262]
[222, 263]
[221, 264]
[220, 265]
[219, 266]
[218, 267]
[217, 268]
[216, 269]
[215, 270]
[214, 271]
[213, 270]
[212, 271]
[211, 270]
[210, 271]
[210, 270]
[209, 271]
[208, 270]
[207, 271]
[206, 270]
[205, 271]
[204, 270]
[205, 271]
[204, 270]
[203, 271]
[202, 270]
[201, 271]
[200, 270]
[199, 270]
[198, 271]
[197, 270]
[196, 271]
[195, 270]
[194, 271]
[193, 270]
[192, 271]
[191, 270]
[190, 271]
[189, 270]
[188, 269]
[187, 270]
[186, 271]
[185, 270]
[184, 271]
[183, 270]
[182, 271]
[181, 270]
[180, 271]
[179, 270]
[178, 271]
[177, 270]
[176, 271]
[175, 270]
[174, 271]
[173, 270]
[172, 271]
[173, 271]
[173, 272]
[172, 271]
[171, 270]
[170, 271]
[169, 270]
[168, 271]
[167, 270]
[166, 271]
[165, 272]
[164, 271]
[163, 270]
[162, 271]
[161, 270]
[160, 271]
[159, 270]
[158, 271]
[157, 270]
[158, 270]
[157, 271]
[156, 270]
[155, 271]
[154, 270]
[154, 269]
[153, 270]
[152, 271]
[151, 270]
[150, 271]
[149, 270]
[150, 270]
[149, 271]
[148, 270]
[147, 271]
[146, 270]
[145, 271]
[144, 270]
[143, 271]
[142, 270]
[141, 271]
[140, 272]
[139, 271]
[138, 270]
[137, 271]
[136, 270]
[135, 271]
[134, 270]
[133, 270]
[132, 271]
[131, 270]
[130, 271]
[129, 270]
[128, 271]
[127, 270]
[126, 271]
[125, 270]
[124, 271]
[123, 270]
[122, 271]
[122, 272]
[121, 271]
[120, 270]
[119, 271]
[118, 270]
[117, 271]
[116, 270]
[116, 271]
[115, 270]
[114, 271]
[113, 270]
[112, 271]
[111, 270]
[110, 271]
[109, 270]
[108, 271]
[109, 271]
