[106, 34]
[105, 35]
[104, 36]
[103, 37]
[102, 38]
[101, 39]
[100, 40]
[99, 40]
[98, 41]
[97, 42]
[96, 43]
[95, 44]
[94, 45]
[93, 46]
[92, 47]
[91, 48]
[90, 49]
[89, 50]
[88, 51]
[87, 52]
[86, 53]
[85, 54]
[84, 55]
[83, 56]
[82, 57]
[81, 58]
[80, 59]
[79, 60]
[78, 61]
[77, 62]
[76, 63]
[75, 64]
[74, 65]
[73, 66]
[72, 65]
[71, 66]
[70, 65]
[70, 64]
[69, 65]
[68, 66]
[67, 67]
[66, 68]
[65, 69]
[64, 70]
[63, 71]
[62, 72]
[61, 73]
[60, 74]
[59, 75]
[58, 76]
[57, 77]
[56, 78]
[55, 79]
[54, 80]
[53, 81]
[52, 81]
[53, 80]
[52, 81]
[53, 80]
[52, 81]
[53, 80]
[52, 81]
[53, 80]
[52, 81]
[53, 80]
[53, 81]
[52, 82]
[53, 81]
[52, 82]
[53, 81]
[52, 82]
[53, 81]
[52, 82]
[53, 81]
[53, 82]
[52, 83]
[53, 82]
[52, 83]
[53, 84]
[52, 85]
[53, 84]
[52, 85]
[53, 84]
[52, 85]
[53, 84]
[52, 85]
[53, 84]
[52, 85]
[53, 84]
[52, 85]
[53, 84]
[52, 85]
[53, 84]
[52, 85]
[52, 86]
[51, 86]
[52, 85]
[53, 84]
[52, 85]
[53, 84]
[54, 85]
[55, 85]
[54, 86]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[51, 88]
[52, 87]
[53, 86]
[52, 87]
[53, 86]
[52, 87]
[53, 86]
[52, 87]
[53, 86]
[52, 87]
[53, 88]
[52, 89]
[53, 88]
[52, 89]
[53, 88]
[52, 89]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[53, 88]
[52, 89]
[53, 88]
[52, 89]
[53, 88]
[52, 89]
[53, 89]
[52, 90]
[52, 89]
[53, 88]
[52, 89]
[53, 88]
[52, 89]
[53, 90]
[52, 91]
[53, 90]
[52, 91]
[53, 90]
[52, 91]
[51, 92]
[52, 91]
[53, 90]
[52, 91]
[53, 90]
[52, 91]
[53, 90]
[52, 91]
[53, 90]
[52, 91]
[53, 90]
[52, 89]
[53, 90]
[52, 91]
[53, 90]
[52, 91]
[53, 90]
[52, 91]
[53, 90]
[52, 91]
[53, 90]
[52, 91]
[53, 90]
[52, 91]
[53, 90]
[52, 91]
[53, 90]
[52, 91]
[51, 90]
[51, 91]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 89]
[53, 88]
[52, 89]
[51, 90]
[52, 89]
[53, 88]
[52, 89]
[53, 88]
[52, 89]
[53, 88]
[52, 89]
[53, 88]
[52, 89]
[53, 88]
[52, 89]
[53, 88]
[52, 89]
[53, 88]
[52, 89]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[52, 90]
[53, 89]
[53, 90]
[52, 89]
[53, 88]
[52, 89]
[53, 88]
[52, 89]
[53, 88]
[52, 89]
[53, 88]
[52, 89]
[53, 88]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 88]
[53, 87]
[52, 87]
[53, 86]
[52, 87]
[53, 86]
[52, 87]
[53, 86]
[52, 87]
[53, 86]
[52, 87]
[53, 86]
[52, 87]
[53, 86]
[52, 87]
[53, 86]
[52, 87]
[53, 86]
[52, 87]
[53, 86]
[52, 87]
[52, 86]
[52, 85]
[52, 84]
[52, 83]
[51, 83]
[51, 82]
[51, 81]
[51, 80]
[51, 79]
[51, 78]
[51, 77]
[51, 76]
[51, 75]
[51, 74]
[51, 73]
[51, 72]
[52, 71]
[52, 70]
[52, 69]
[52, 68]
[52, 67]
[52, 66]
[52, 65]
[52, 64]
[52, 63]
[52, 62]
[52, 61]
[52, 60]
[52, 59]
[52, 58]
[52, 57]
[52, 56]
[52, 55]
[52, 54]
[52, 53]
[52, 52]
[52, 51]
[52, 50]
[52, 49]
[52, 48]
[52, 47]
[52, 46]
[52, 45]
[52, 44]
[52, 43]
[52, 42]
[52, 41]
[52, 40]
[51, 39]
[51, 38]
[51, 37]
[51, 36]
[51, 35]
[51, 34]
[51, 33]
[51, 32]
[51, 31]
[51, 30]
[51, 29]
[51, 28]
[51, 27]
[51, 26]
[51, 25]
[52, 26]
[52, 27]
[52, 26]
[52, 25]
[53, 26]
