[71, 244]
[72, 243]
[73, 242]
[74, 241]
[75, 240]
[75, 241]
[76, 240]
[77, 239]
[78, 238]
[79, 237]
[80, 236]
[81, 235]
[80, 235]
[81, 234]
[82, 233]
[83, 232]
[84, 231]
[85, 230]
[86, 229]
[87, 228]
[88, 227]
[89, 226]
[90, 225]
[91, 224]
[92, 223]
[93, 222]
[94, 221]
[93, 220]
[94, 219]
[95, 218]
[96, 217]
[97, 216]
[98, 215]
[99, 214]
[100, 213]
[101, 212]
[102, 211]
[103, 210]
[104, 209]
[105, 208]
[105, 209]
[106, 208]
[106, 207]
[106, 206]
[106, 205]
[106, 204]
[106, 203]
[106, 202]
[106, 201]
[106, 200]
[106, 199]
[106, 198]
[106, 197]
[106, 196]
[106, 195]
[106, 194]
[106, 193]
[106, 192]
[106, 191]
[106, 190]
[106, 189]
[106, 188]
[106, 187]
[106, 186]
[105, 186]
[105, 185]
[105, 184]
[105, 183]
[105, 182]
[105, 181]
[105, 180]
[105, 179]
[105, 178]
[105, 177]
[105, 176]
[105, 175]
[105, 174]
[105, 173]
[105, 172]
[105, 171]
[105, 170]
[105, 169]
[105, 168]
[105, 167]
[104, 166]
[104, 165]
[104, 164]
[104, 163]
[104, 162]
[104, 161]
[104, 160]
[104, 159]
[103, 160]
[103, 159]
[103, 158]
[103, 157]
[103, 156]
[103, 155]
[102, 155]
[102, 154]
[102, 153]
[102, 152]
[101, 152]
[101, 151]
[101, 150]
[101, 149]
[101, 148]
[101, 147]
[101, 146]
[101, 145]
[101, 144]
[101, 143]
[101, 142]
[101, 141]
[101, 140]
[101, 139]
[101, 138]
[101, 137]
[101, 136]
[101, 135]
[101, 134]
[101, 133]
[101, 132]
[101, 131]
[101, 130]
[101, 129]
[101, 128]
[101, 127]
[101, 128]
[101, 127]
[101, 126]
[101, 125]
[101, 124]
[101, 123]
[101, 122]
[101, 121]
[101, 120]
[101, 119]
[101, 118]
[101, 117]
[101, 116]
[101, 115]
[101, 114]
[101, 113]
[101, 112]
[101, 111]
[101, 110]
[101, 109]
[101, 108]
[101, 107]
[101, 106]
[101, 105]
[101, 104]
[101, 103]
[101, 104]
[101, 105]
[101, 104]
[101, 103]
[100, 103]
[101, 104]
[101, 103]
[102, 104]
[103, 103]
[104, 104]
[105, 103]
[106, 104]
[107, 103]
[108, 102]
[108, 103]
[108, 104]
[109, 103]
[108, 102]
[108, 103]
[108, 104]
[109, 103]
[109, 104]
[110, 103]
[110, 104]
[111, 103]
[111, 104]
[112, 103]
[113, 103]
[113, 104]
[114, 103]
[114, 104]
[115, 103]
[115, 104]
[116, 103]
[116, 104]
[117, 103]
[117, 104]
[118, 103]
[118, 104]
[119, 103]
[119, 104]
[120, 103]
[120, 104]
[121, 103]
[121, 104]
[122, 103]
[122, 104]
[123, 103]
[123, 104]
[124, 103]
[123, 103]
[123, 104]
[124, 103]
[124, 104]
[125, 103]
[125, 104]
[126, 103]
[126, 104]
[127, 103]
[127, 104]
[128, 103]
[128, 104]
[129, 103]
[129, 104]
[130, 103]
[130, 104]
[131, 103]
[131, 102]
[131, 103]
[131, 104]
[132, 103]
[132, 104]
[133, 103]
[133, 104]
[134, 103]
[134, 104]
[135, 103]
[135, 104]
[136, 103]
[136, 104]
[137, 103]
[137, 104]
[138, 103]
[139, 102]
[139, 103]
[139, 104]
[140, 103]
[140, 104]
[141, 103]
[141, 104]
[142, 103]
[143, 102]
[143, 103]
[143, 104]
[144, 103]
[144, 104]
[145, 103]
[145, 104]
[146, 103]
[146, 104]
[147, 103]
[147, 104]
[148, 103]
[148, 104]
[148, 103]
[148, 104]
[148, 103]
[148, 104]
[149, 103]
[149, 104]
[150, 103]
[150, 104]
[151, 103]
[152, 103]
[152, 104]
[153, 103]
[154, 103]
[154, 104]
[155, 103]
[155, 104]
[156, 103]
[156, 104]
[157, 103]
[157, 104]
[158, 103]
[158, 104]
[159, 103]
[159, 104]
[158, 104]
[159, 103]
[159, 104]
[160, 103]
[160, 102]
[160, 103]
[160, 104]
[161, 103]
[161, 104]
[162, 103]
[162, 104]
[163, 103]
[163, 104]
[164, 103]
[164, 104]
[165, 103]
[165, 104]
[166, 103]
[166, 104]
[167, 103]
[167, 104]
[168, 103]
[168, 104]
[169, 103]
[169, 104]
[170, 103]
[171, 102]
[172, 101]
[171, 101]
[172, 100]
[173, 99]
[174, 98]
[175, 97]
[176, 96]
[177, 95]
[178, 94]
[179, 93]
[180, 92]
[181, 91]
[181, 90]
[182, 89]
[183, 88]
[184, 87]
[185, 86]
[186, 85]
[186, 86]
[186, 87]
[186, 88]
[186, 89]
[186, 90]
[186, 91]
[186, 92]
[186, 93]
[186, 94]
[186, 95]
[186, 96]
[186, 97]
[186, 98]
[186, 99]
[185, 98]
[185, 99]
[185, 100]
[185, 101]
[185, 102]
[185, 103]
[185, 104]
[186, 103]
[186, 104]
[187, 103]
[187, 104]
[188, 103]
[188, 104]
[189, 103]
[189, 104]
[190, 103]
[190, 104]
[191, 103]
[191, 104]
[192, 103]
[192, 104]
[193, 103]
[193, 104]
[194, 103]
[194, 104]
[195, 103]
[195, 104]
[196, 103]
[196, 104]
[197, 105]
[198, 104]
[199, 103]
[199, 104]
[200, 103]
[200, 104]
[201, 103]
[202, 103]
[202, 104]
[203, 103]
[202, 102]
[202, 103]
[201, 102]
[201, 103]
[201, 104]
[202, 103]
[202, 104]
[203, 103]
[202, 102]
[202, 103]
[201, 104]
[202, 103]
[203, 104]
