[299, 185]
[298, 184]
[297, 183]
[296, 182]
[295, 181]
[294, 180]
[293, 179]
[292, 178]
[291, 177]
[290, 176]
[289, 175]
[288, 174]
[287, 173]
[286, 172]
[285, 171]
[284, 170]
[283, 169]
[282, 168]
[281, 167]
[280, 166]
[279, 165]
[278, 164]
[277, 163]
[276, 162]
[275, 161]
[274, 160]
[273, 159]
[272, 158]
[271, 157]
[270, 156]
[269, 155]
[268, 154]
[267, 153]
[266, 152]
[265, 151]
[264, 150]
[263, 149]
[264, 150]
[264, 151]
[263, 150]
[262, 149]
[261, 148]
[260, 147]
[259, 146]
[258, 145]
[257, 144]
[256, 143]
[255, 142]
[254, 141]
[253, 140]
[252, 139]
[251, 138]
[252, 137]
[251, 137]
[250, 137]
[249, 137]
[248, 137]
[247, 137]
[246, 137]
[247, 138]
[246, 138]
[245, 138]
[244, 138]
[243, 138]
[242, 138]
[241, 138]
[240, 138]
[239, 138]
[238, 138]
[237, 138]
[236, 138]
[235, 138]
[234, 138]
[233, 138]
[232, 138]
[231, 138]
[230, 138]
[229, 138]
[228, 138]
[227, 138]
[226, 138]
[225, 138]
[226, 138]
[227, 138]
[226, 138]
[225, 138]
[224, 138]
[223, 137]
[222, 137]
[221, 137]
[220, 137]
[219, 137]
[218, 137]
[217, 137]
[216, 137]
[215, 137]
[214, 137]
[213, 137]
[212, 137]
[211, 137]
[210, 137]
[209, 137]
[208, 137]
[207, 137]
[206, 137]
[205, 137]
[204, 137]
[203, 137]
[202, 137]
[201, 137]
[200, 137]
[199, 137]
[198, 137]
[197, 137]
[196, 137]
[195, 137]
[194, 137]
[193, 137]
[192, 137]
[191, 137]
[190, 137]
[189, 137]
[188, 137]
[187, 137]
[186, 137]
[185, 137]
[184, 137]
[183, 137]
[182, 137]
[183, 136]
[182, 136]
[181, 136]
[180, 136]
[179, 136]
[178, 136]
[178, 135]
[177, 135]
[176, 135]
[175, 135]
[176, 136]
[175, 136]
[174, 136]
[173, 136]
[172, 136]
[171, 136]
[170, 136]
[169, 136]
[168, 136]
[167, 136]
[166, 136]
[165, 136]
[164, 136]
[163, 136]
[162, 136]
[161, 136]
[160, 136]
[159, 136]
[158, 135]
[157, 135]
[156, 135]
[155, 135]
[154, 135]
[153, 135]
[152, 135]
[151, 135]
[150, 135]
[149, 135]
[148, 135]
[147, 135]
[146, 135]
[145, 135]
[144, 135]
[143, 135]
[142, 135]
[141, 135]
[142, 135]
[141, 135]
[140, 135]
[139, 135]
[138, 135]
[137, 135]
[136, 135]
[135, 135]
[134, 135]
[133, 135]
[132, 135]
[131, 135]
[130, 135]
[129, 135]
[128, 135]
[127, 135]
[126, 135]
[125, 135]
[126, 134]
[125, 134]
[124, 134]
[123, 133]
[122, 133]
[121, 133]
[120, 133]
[119, 133]
[118, 133]
[117, 133]
[116, 133]
[115, 133]
[114, 133]
[113, 133]
[112, 133]
[111, 133]
[110, 133]
[109, 133]
[108, 133]
[107, 133]
[106, 133]
[105, 133]
[104, 133]
[103, 133]
[102, 133]
[101, 133]
[100, 133]
[101, 132]
[100, 132]
[99, 132]
[98, 132]
[97, 132]
[96, 132]
[97, 132]
[96, 132]
[95, 132]
[94, 132]
[93, 132]
[92, 132]
[91, 132]
[90, 132]
[89, 132]
[88, 132]
[87, 132]
[86, 132]
[85, 132]
[84, 132]
[83, 132]
[82, 132]
[81, 132]
[80, 132]
[79, 132]
[78, 132]
[77, 132]
[76, 132]
[75, 132]
[74, 132]
[75, 132]
[74, 132]
[73, 132]
[72, 132]
[71, 132]
[70, 132]
[69, 132]
[68, 132]
[69, 131]
[68, 131]
[67, 131]
[66, 131]
[65, 131]
[64, 131]
[65, 132]
[64, 132]
[63, 132]
[62, 132]
[61, 132]
[60, 132]
[59, 132]
[58, 132]
[57, 132]
[56, 132]
[55, 132]
[54, 132]
[53, 132]
[52, 132]
[51, 132]
[50, 132]
[49, 132]
[50, 131]
[49, 131]
[48, 131]
[47, 131]
[46, 131]
[45, 131]
[44, 131]
[43, 130]
[42, 130]
[41, 130]
[40, 130]
[39, 130]
[40, 131]
[40, 132]
[39, 132]
[38, 132]
[37, 132]
[36, 132]
[35, 132]
[35, 133]
[34, 133]
[33, 133]
[32, 133]
[31, 133]
[30, 133]
[31, 134]
[30, 134]
[29, 134]
[28, 134]
[27, 134]
[26, 134]
[26, 135]
[25, 135]
[24, 135]
[23, 136]
[22, 137]
[21, 138]
[20, 139]
[21, 139]
[22, 139]
[23, 139]
[24, 139]
[25, 139]
