[188, 202]
[187, 201]
[186, 200]
[185, 199]
[184, 198]
[183, 198]
[182, 197]
[181, 196]
[180, 195]
[181, 196]
[180, 195]
[179, 194]
[178, 194]
[177, 193]
[176, 192]
[175, 191]
[174, 190]
[173, 189]
[172, 188]
[171, 187]
[170, 186]
[169, 185]
[168, 184]
[167, 183]
[166, 182]
[165, 181]
[164, 180]
[163, 179]
[162, 178]
[162, 179]
[161, 178]
[160, 177]
[159, 177]
[158, 176]
[158, 177]
[157, 176]
[156, 175]
[155, 174]
[154, 173]
[153, 172]
[152, 171]
[152, 170]
[151, 169]
[150, 168]
[149, 167]
[150, 166]
[149, 165]
[148, 164]
[149, 163]
[148, 162]
[147, 161]
[146, 160]
[145, 159]
[144, 159]
[144, 160]
[143, 159]
[142, 158]
[141, 157]
[140, 156]
[139, 155]
[138, 154]
[137, 153]
[136, 152]
[135, 151]
[134, 150]
[133, 149]
[132, 148]
[131, 147]
[130, 146]
[129, 145]
[128, 144]
[127, 143]
[126, 142]
[125, 141]
[124, 140]
[123, 139]
[122, 138]
[121, 137]
[120, 136]
[119, 135]
[118, 134]
[117, 133]
[116, 132]
[115, 131]
[114, 130]
[113, 129]
[112, 128]
[111, 127]
[110, 126]
[109, 125]
[108, 124]
[107, 123]
[106, 122]
[107, 123]
[106, 122]
[107, 123]
[106, 122]
[107, 123]
[106, 122]
[107, 123]
[106, 123]
[105, 122]
[106, 123]
[105, 122]
[106, 123]
[105, 122]
[106, 123]
[105, 122]
[106, 122]
[107, 123]
[106, 122]
[107, 123]
[106, 122]
[107, 123]
[106, 122]
[107, 123]
[108, 123]
[107, 122]
[108, 123]
[107, 122]
[108, 123]
[109, 122]
[110, 123]
[109, 122]
[110, 123]
[109, 122]
[110, 123]
[109, 122]
[110, 123]
[109, 122]
[110, 123]
[109, 122]
[108, 122]
[107, 122]
[106, 122]
[106, 121]
[105, 121]
[104, 121]
[103, 121]
[102, 121]
[101, 121]
[100, 121]
[100, 120]
[99, 120]
[98, 120]
[97, 120]
[96, 120]
[95, 120]
[94, 119]
[95, 119]
[94, 119]
[93, 120]
[92, 120]
[91, 120]
[90, 120]
[89, 120]
[88, 120]
[87, 120]
[86, 120]
[85, 120]
[85, 121]
[84, 121]
[83, 121]
[82, 121]
[81, 121]
[80, 121]
[81, 121]
[80, 121]
[79, 121]
[78, 121]
[77, 121]
[76, 121]
[75, 121]
[74, 121]
[73, 121]
[72, 121]
[71, 121]
[70, 121]
[69, 121]
[68, 121]
[67, 121]
[66, 121]
[67, 122]
[68, 123]
[67, 123]
[66, 122]
[67, 123]
[66, 122]
[67, 123]
[66, 122]
[67, 123]
[66, 122]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[66, 124]
[65, 123]
[64, 122]
[65, 123]
[64, 122]
[65, 123]
[66, 122]
[67, 123]
[66, 122]
[67, 123]
[66, 122]
[67, 123]
[66, 122]
[67, 123]
[66, 122]
[67, 123]
[66, 122]
[67, 123]
[66, 122]
[67, 123]
[66, 122]
[67, 123]
[66, 122]
[67, 123]
[66, 122]
[67, 123]
[66, 122]
[67, 123]
[66, 122]
[66, 123]
[66, 124]
[65, 123]
[64, 122]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[66, 123]
[65, 122]
[64, 123]
[63, 122]
[64, 123]
[63, 122]
[64, 123]
[63, 122]
[64, 123]
[63, 122]
[64, 123]
[63, 122]
[64, 123]
[63, 122]
[64, 123]
[63, 122]
[64, 123]
[63, 122]
[64, 123]
[63, 123]
[62, 122]
[63, 123]
[62, 122]
[63, 123]
[62, 122]
[63, 123]
[62, 122]
[63, 123]
[62, 122]
[63, 123]
[62, 122]
[63, 123]
[62, 122]
[63, 123]
[62, 122]
[61, 123]
[60, 122]
[61, 123]
[60, 122]
[61, 123]
[60, 122]
[61, 123]
[60, 122]
[61, 123]
[60, 122]
[61, 123]
[60, 122]
[61, 123]
[60, 122]
[60, 123]
[61, 124]
[60, 123]
[61, 124]
[60, 123]
[59, 122]
[60, 123]
[59, 122]
[60, 123]
[59, 122]
[60, 123]
[59, 122]
[60, 123]
[59, 122]
[60, 123]
[59, 122]
[60, 123]
[59, 122]
[60, 123]
[59, 124]
[58, 124]
[57, 123]
[56, 122]
[57, 123]
[56, 122]
[57, 121]
[58, 122]
[59, 123]
[58, 122]
[59, 123]
[58, 122]
[59, 123]
[58, 122]
[59, 123]
[58, 122]
[59, 123]
[58, 122]
[59, 123]
[58, 122]
[59, 123]
[58, 122]
[57, 122]
[58, 123]
[57, 122]
[58, 123]
[57, 122]
[58, 123]
[57, 122]
[58, 123]
[57, 122]
[56, 122]
[55, 122]
[54, 122]
[53, 122]
[52, 122]
[51, 122]
[50, 122]
[49, 122]
[49, 121]
[49, 120]
[49, 119]
[49, 118]
[49, 117]
[49, 116]
[49, 115]
[49, 114]
[49, 113]
[49, 112]
[49, 111]
[49, 110]
[49, 109]
[49, 108]
[48, 107]
[48, 106]
