[86, 164]
[85, 164]
[84, 164]
[83, 164]
[82, 164]
[81, 164]
[80, 164]
[80, 163]
[79, 163]
[78, 163]
[78, 162]
[78, 161]
[77, 161]
[77, 160]
[77, 159]
[77, 158]
[77, 157]
[77, 156]
[77, 155]
[77, 154]
[77, 153]
[77, 152]
[76, 151]
[76, 150]
[76, 149]
[76, 148]
[76, 147]
[76, 146]
[75, 145]
[75, 144]
[75, 143]
[75, 142]
[75, 141]
[75, 140]
[75, 139]
[75, 138]
[75, 137]
[75, 136]
[74, 135]
[74, 134]
[74, 133]
[74, 132]
[74, 131]
[74, 130]
[74, 129]
[73, 130]
[73, 129]
[73, 128]
[73, 127]
[72, 128]
[73, 129]
[73, 128]
[73, 127]
[73, 126]
[73, 125]
[73, 124]
[73, 123]
[73, 122]
[73, 121]
[73, 120]
[73, 119]
[73, 118]
[73, 117]
[73, 116]
[73, 115]
[73, 114]
[73, 113]
[73, 112]
[73, 111]
[73, 110]
[73, 109]
[73, 108]
[73, 107]
[74, 108]
[74, 107]
[75, 108]
[75, 107]
[76, 108]
[76, 107]
[77, 108]
[77, 107]
[76, 108]
[75, 107]
[76, 108]
[76, 107]
[77, 108]
[77, 107]
[78, 108]
[78, 107]
[79, 108]
